id;created_at;text;sentiment
77522;2020-04-15 01:03:46+00:00;"RT @RobertBeadles: Yo💥
Enter to WIN 1,000 Monarch Tokens✅

US Stock Market Crashes &amp; what we can LEARN from them PT3!

RETWEET, WATCH video…";positive
661634;2020-06-25 06:20:06+00:00;"#SriLanka surcharge on fuel removed!
⛽📉
The surcharge of Rs.26 imposed on diesel and petrol has been revoked with effect from midnight on June 23 says Power, Energy and Transport Minister Mahinda. Amaraweera -Adaderana-

#lka #FuelPrices #taxes #economy #stocks #StockMarket";negative
413231;2020-06-04 15:41:45+00:00;"Net issuance increases to fund fiscal programs &gt; yields spike higher &gt; risk off: #stocks and #EMFX correct lower &gt; #Fed comes in with #YCC &gt; stocks to new all time highs with 20% unemployment and -25% GDP. Fin.";positive
760262;2020-07-03 19:39:35+00:00;RT @bentboolean: How much of Amazon's traffic is served by Fastly? Help us find out by running this tool from your IP address: https://t.co…;positive
830153;2020-07-09 14:39:14+00:00;$AMD Ryzen 4000 desktop CPUs looking ‘great’ and on track to launch in 2020 https://t.co/y7yYvXOVYJ #madtweets #stocks #cnbc #AMD;positive
27027;2020-04-12 21:52:56+00:00;"RT @QuantTrend: Reduce your portfolio RISK! GOLD is a perfect tail HEDGE!

Central banks balance sheet expansion &amp; large fiscal deficits &amp;…";positive
472959;2020-06-09 05:23:06+00:00;$863.69 Million in Sales Expected for Spirit AeroSystems Holdings, Inc. $SPR This Quarter https://t.co/zoqBvspVSj #stocks;positive
392845;2020-06-02 01:12:29+00:00;"RT @ArjunKharpal: #Apple has cut the prices of the iPhone 11 range by about 12-13% in China. It's an uncommon move. 

These discounts are n…";negative
313771;2020-05-07 04:58:41+00:00;RT @SMA_alpha: The #CDC U.S. New Case data has a 2 day lag, but saw another encouraging decline #WHO Global New Case data still flat at the…;negative
267894;2020-05-04 15:16:29+00:00;"Where to Look for Dependable Dividends
Read More &gt; https://t.co/qKvNFF2ih5
#etf #investing #stocks #business #news";neutral
223041;2020-04-27 00:41:06+00:00;RT @PipsToDollars: Earnings $AMZN $TSLA $MSFT $AAPL $AMD $BA $FB $LUV $MMM $GE $AAL $UPS $TWTR $PFE $CBSH $PEP $MA $GOOGL $GILD $SBUX $UAL…;neutral
417260;2020-06-04 07:29:51+00:00;Guys if market stays below 10000 till 2 expect a major major crash in nifty #nifty #banknifty #stocks;negative
436313;2020-06-06 15:06:34+00:00;"How will the future fly for Spirit Air $SAVE ? #Blog with Stocks&amp;Sports on $FB 🤖 Bots &amp; AI also welcome to blog about #salesforce $CRM @Tommycoulter4 https://t.co/SBae6qvO6p";neutral
516487;2020-06-14 18:33:57+00:00;Interesting comparison to 2007-09 market of $SPX stocks above 200 day. Much of 2008 bear market was under that 50 level marked by red line. Once it got above 65% level in summer 2009 the smoke cleared. Not as weak in 2020 but something to watch https://t.co/eWP915CcBj;negative
378564;2020-06-01 09:27:28+00:00;"#CANBK

CANBK 25-Jun-2020 , Now @ 93++++++++++++++++

#nifty #banknifty #equity #stocks #analysis #trading #sp https://t.co/OSGXfbjKqf";neutral
539347;2020-06-16 17:36:40+00:00;"4/ that is, Spot premium. No major price peaks during this phase.

During distribution, funding stays largely positive &amp; futures trade at premium constantly.

So, constant spot premium is a precursor to organic demand $BTC #BTC #Bitcoin #TA #SP500";positive
739221;2020-07-01 11:30:04+00:00;Chile: On The Road to Recovery in 2021? https://t.co/xp152EE1hm $AAPL $TSLA $FB https://t.co/cHvzQi7Fv3;neutral
310725;2020-05-07 13:10:28+00:00;"RT @ForecastCity: Latest #EURNZD #TradeIdeas &amp; #TechnicalAnalysis is FREE now!

2686 pip #Profit in 82 days!

#Euro #EUR #NZD #Money #Forex…";positive
836967;2020-07-09 02:30:51+00:00;"$VIR 

Since April i posted these levels 

Just follow the thread and the levels for support &amp; resistance / SL &amp; TP .

$SPX #nasdaq #TechnicalAnalysis #StockMarket #daytrading
$SPY $QQQ $IWM https://t.co/SsJ3JYbP0v https://t.co/2J0zIly9Yy";positive
67928;2020-04-15 16:46:49+00:00;"@EpiphronR  China Population 1.3 Billion Reasons $30 $IQ IQIYI &amp; $GLUU Short Squeeze Bullish Call Especially w New Sorcerer's Arena Game NetFlix Is At All Time High $NFLX $DIS Netflix +4.7% to record high as Imperial bumps PT https://t.co/h2HBNi7ir0 $AMZN $INTC $SNAP $AAPL $AMAT";neutral
886790;2020-07-13 06:59:35+00:00;"RT @RafKadian: $tsla &amp; $nio fot the day #trading #stocks
#RafTrading111 @adssgroup https://t.co/zwFA8po9YI";neutral
73134;2020-04-15 11:48:14+00:00;"Q1 2020 EPS Estimates for Merck &amp; Co., Inc. $MRK Lowered by SVB Leerink  https://t.co/vi2fdhysb8";negative
179429;2020-04-23 02:31:43+00:00;"RT @JohriNikhil: 3 of 8 #banks that infused confidence capital in #YesBank sold partial stakes from the ""free from lock-in"" portion at btw…";negative
562362;2020-06-17 01:55:39+00:00;"RT @Reveretrading: As promised, June 17 Plan

*Click on Picture to Expand* 📌

Please feel free to share or like, I would appreciate your su…";neutral
74333;2020-04-15 09:40:06+00:00;"8911.....IT IS THE BEST TIME TO COVER YOUR SHORTS

#banknifty #trading #stocks #stockmarket #news #gold #silver #coronavirus 
#Nifty #equity 
#portfolio #markets #research #results #daytrading #finance #investments #intraday #India #stockstowatch
#StocksToTrade https://t.co/VjBrk7ugr0";positive
455888;2020-06-08 11:48:24+00:00;"RT @FreeShyloNow: GM #Shylobots 🤖 🌄☕

3202🎯 LIS🔺 #ES_F $SPX $SPY

☝3202🎯📈😈

3209🎯 3220🎯 3229🎯 3232🎯

👎 3202🎯📉🐻

3194🎯 3189🎯 3182🎯 3177🎯

31…";neutral
351275;2020-05-29 19:01:14+00:00;There are cases where investing in a taxable account over an IRA makes sense. If you’re in a high income tax bracket, paying the lower capital gains tax rate on sales could save you on your tax bill. #stocks #markets #economy @StegentEquity Stegent Equity Advisors, Inc https://t.co/K6hex2nGOK;positive
538661;2020-06-16 18:29:18+00:00;"#OfficeSupply orders up significantly as #USA shifted to #workfromhome.

See more data: https://t.co/W29QPIicmd

#Covid19 #alternativedata #HomeOffice #OfficeDepot #OfficeMax #Shopping #Staples #FedExKinkos #USPS #DHL #TNTExpress $ODP $CIO $FDX $UPS $HPP $HIW $HYG $AMZN $EBAY $M https://t.co/mx1GzTY6wo";positive
859923;2020-07-11 10:07:37+00:00;#stocks making it too easy at times.  #OptionsTrading is my new love and it’s here to stay! https://t.co/NaktOndY98;positive
923520;2020-07-15 01:21:09+00:00;"$T  Jul 14    
- Daily stock market timing forecast -    
◆ Investing view    
=&gt; Buy - Bullish    
◆ Search for the daily stock market timing forecast    
https://t.co/cgw2OmhClQ    
◆ Upper~Lower stock... https://t.co/5iEpNwOVuI https://t.co/vdb3vvRLNX";positive
682710;2020-06-27 17:20:15+00:00;RT @leadlagreport: Several large corporations are stopping advertising on Facebook either till July or for the whole of this year. If these…;negative
468685;2020-06-09 13:53:57+00:00;$AMZN nice little coiling here.;positive
36981;2020-04-13 17:31:40+00:00;"TOS frozen for anyone else?

#es_f $spx $spy #options #futures #cl_f $forex";neutral
890710;2020-07-14 22:25:18+00:00;#NASDAQ E-mini #Futures #NQ_F  ⬆️ 77.25 Points (0.73%) to 10,720.5 #futurestrading #future #NASDAQ100 #Investment #investing #invest #investor #investors #stock #stocks #StockMarket https://t.co/mzotIguudf https://t.co/jAJH0jEmGH https://t.co/V3OkdJwJEL;positive
612914;2020-06-22 13:43:58+00:00;Tenaris $TS Stock Rating Upgraded by Goldman Sachs Group https://t.co/FJKAZWC9bg #stocks;positive
254252;2020-04-29 02:45:39+00:00;"RT @ThePitBoss16: Google Stock Soars Near 10% After Earnings 
Alphabet Inc Class A NASDAQ: $GOOGL
Market Reaction After hours 
$1,346.00 +1…";positive
660162;2020-06-25 10:59:18+00:00;"DYK that on May 22 2020 $UONE was trading at $1.28 and today it’s opening at $21.50. 
Who put in $1,000 + on or B4 the 26th?
IDK... they should be proud. 
Unless you’re White and haven’t donated money back to the Black community.
Don’t have to.
But it would be nice. 
JS
#stocks https://t.co/yVKpZIVN7G";positive
927023;2020-07-16 19:18:42+00:00;"https://t.co/Pj9Gu287hf
$MA, $SAM   to Intraday_Trend_End.] https://t.co/O6wkep5G2a =";neutral
523018;2020-06-15 20:01:44+00:00;RT @jadid: Green suites the #StockMarket . The market continues to rebound, erasing earlier losses. $DJI $NDX $SPX $RUT #MarketUpdate https…;positive
548244;2020-06-16 02:45:02+00:00;"$qqq We have detected a noticeable rise in the Zeitgeist for Invesco QQQ Trust at  https://t.co/RAhgfFVkoM
Visit DataSwarm Markets for more information
#STOCKS #NASDAQ
DataSwarm ref: 101873";positive
831465;2020-07-09 13:41:30+00:00;$T dropped under $30 so you know what i did 😏😏;negative
365735;2020-05-31 21:10:06+00:00;#LEGO #LEGOCity set 60132 - Service Station, 2016 Release #LEGOVehicles #LEGOcars #AFOL #LEGObricks #CollectibleToys #Toys #SP500 #stocks #instafollow #legoresaleprices #LEGOblocks #top10best #top10LEGO https://t.co/EBLT5fdutd;neutral
572226;2020-06-18 11:28:55+00:00;RT @SheepKnowMore: Fake outrage. $FB is an invaluable Deep State election-interference tool. Tantrums like this by their #FakeNews media al…;negative
145407;2020-04-21 13:20:35+00:00;"$ES_F Needs to trade $90s+ or $2640-$2650 on deck today 

$SPY $SPX https://t.co/zTkybafvh6";neutral
482491;2020-06-10 15:54:01+00:00;Told ya so @CNBCFastMoney . Tesla $tsla up another 7.5% today so far today to $1,011. At this rate we’ll be at 2k by the end of June. 😉 #tesla #ev #cnbc #stocks #stockmarket #space #batteries #cybertruck #teslasemi https://t.co/kurTilLYSq;positive
452658;2020-06-08 15:43:34+00:00;"RT @conkers3: @HTVIOLA @wheeliedealer Thank u4 such generous feedback Henry👏

Pete &amp; I are focused on #learning &amp; #improving our #investing…";positive
489159;2020-06-10 06:45:03+00:00;That’s right. We’re facing the prospect of a long and deep recession, and yet stock prices have surged 45% in a matter of weeks. Just stay calm — and keep taking the shots #Stocks #Investing https://t.co/sKV4idhlVy;positive
326699;2020-05-08 05:04:08+00:00;DHI Group $DHX Price Target Cut to $4.25 by Analysts at B. Riley https://t.co/iVhKwDicqV #stocks;negative
36429;2020-04-13 18:12:46+00:00;"RT @vincent13031925: Biggest mistakes of the century:

From before,

Apple $AAPL is only a PC maker

Amazon $AMZN is only a bookstore 

Goo…";negative
252986;2020-04-29 06:48:21+00:00;"Available #onhand #stocks of REGULAR #CYTOKIT text me at 09653052991  

 #pampalaglag #cytotec #cytoteckit #abortion #mifepristone #misoprostol #abortionpills #abortionphilippines #cytotecphilippines #cytokitphilippines 09653052991 :) https://t.co/7azgTj5r47";neutral
524841;2020-06-15 18:05:37+00:00;"Week 24 (Mon PM Recap)

$spx 3023.75 breakout to 3040, 3055, 3070 https://t.co/BpOhEm4Qoc https://t.co/Oz1OY6FuhI";positive
391857;2020-06-02 04:27:17+00:00;Check which story for #DowJones has the highest score $V $MMM $MCD https://t.co/8zP8MKc2dK https://t.co/uc6PfL9S6o;positive
161671;2020-04-22 09:53:11+00:00;"RT @Lakshmi_888: When I called highs $SPX 33xx,most called 3500+
When most called &lt;1800 at SPX 2175,I called reversal
When most called 3000…";positive
742475;2020-07-01 02:15:56+00:00;@omgwtf2011 @BearingtonTrade $T made their dollar back 🤣🤣🤣🤣 https://t.co/wmKK5XErq0;positive
100306;2020-04-17 14:54:41+00:00;"Why Amazon is thriving when retail sector takes a severe beating from Covid-19...
https://t.co/GzEIw6uTWS
#retail #Walmart #Amazon $WMT $AMZN $TGT $DG $M #Macy's #Dollar #General #Coronavirus #Covid-19 #Pandemic #shutdown #epidemic https://t.co/8b0fIxe4GC";negative
188124;2020-04-24 14:32:14+00:00;Nomura Increases Tractor Supply $TSCO Price Target to $95.00 https://t.co/MKWK2oCfnz #stocks;positive
317321;2020-05-08 20:29:16+00:00;$FANG - Diamondback Energy: Quality Guidance From Management. https://t.co/u70RjddJYE #finance #stocks #business;positive
755186;2020-07-02 11:00:01+00:00;"📺Available now to view on demand: Cycles In The Time of #COVIDー19, with @bcaresearch's strategist, Mathieu Savary. Watch the webinar now 👉  https://t.co/M7ViH92nFC .
#bonds #stocks #investors #funds. https://t.co/yZUCaLqWGu";neutral
339775;2020-05-28 16:58:58+00:00;RT @ZacksResearch: What's the short-term outlook for Disney? $DIS https://t.co/R4lUsdzaeV;neutral
868308;2020-07-12 08:35:07+00:00;Tenaris SA $TS Expected to Post Quarterly Sales of $1.14 Billion https://t.co/VoQrURiDDx #stocks;neutral
936377;2020-07-16 06:56:44+00:00;"RT @JackChappleSci: China Is Buying Up The World's Ports...And No One Is Talking About It
https://t.co/h8vvMo2tLT

#china #business #longbe…";positive
